rank,movie
1,스즈메의 문단속
2,웅남이
3,소울메이트
4,더 퍼스트 슬램덩크
5,샤잠! 신들의 분노
6,파벨만스
7,"귀멸의 칼날: 상현집결, 그리고 도공 마을로"
8,대외비
9,에브리씽 에브리웨어 올 앳 원스+
10,플레인
11,멍뭉이
12,아임 히어로 더 파이널
13,다음 소희
14,모나리자와 블러드 문
15,던전 앤 드래곤: 도적들의 명예
16,똑똑똑
17,서치 2
18,마루이 비디오
19,이니셰린의 밴시
20,보스턴 교살자
index,date,director,score
"애니메이션, 일본, 122분",2023.03.08개봉,신카이 마코토,"{'관람객 평점': '8.17', '기자 · 평론가 평점': '7.79', '네티즌 평점': '8.30'}"
"코미디, 액션, 대한민국, 97분",2023.03.22개봉,박성광,"{'관람객 평점': '8.23', '기자 · 평론가 평점': '3.33', '네티즌 평점': '7.11'}"
"드라마, 대한민국, 124분",2023.03.15개봉,민용근,"{'관람객 평점': '8.08', '기자 · 평론가 평점': '6.17', '네티즌 평점': '8.70'}"
"애니메이션, 일본, 124분",2023.01.04개봉,이노우에 다케히코,"{'관람객 평점': '9.28', '기자 · 평론가 평점': '7.83', '네티즌 평점': '9.44'}"
"액션, 모험, 미국, 130분",2023.03.15개봉,데이비드 F. 샌드버그,"{'관람객 평점': '6.91', '기자 · 평론가 평점': '4.50', '네티즌 평점': '6.49'}"
"드라마, 미국, 151분",2023.03.22개봉,스티븐 스필버그,"{'관람객 평점': '8.96', '기자 · 평론가 평점': '8.67', '네티즌 평점': '8.72'}"
"애니메이션, 일본, 110분",2023.03.02개봉,소토자키 하루오,"{'관람객 평점': '6.65', '네티즌 평점': '4.97'}"
"범죄, 드라마, 대한민국, 116분",2023.03.01개봉,이원태,"{'관람객 평점': '6.15', '기자 · 평론가 평점': '5.17', '네티즌 평점': '6.19'}"
"액션, 코미디, 미국, 150분",2023.03.01개봉,다니엘 콴,"{'관람객 평점': '8.88', '네티즌 평점': '7.86'}"
"액션, 스릴러, 미국, , 영국, 107분",2023.03.15개봉,장-프랑소와 리셰,"{'관람객 평점': '7.71', '기자 · 평론가 평점': '5.00', '네티즌 평점': '7.90'}"
"드라마, 대한민국, 113분",2023.03.01개봉,김주환,"{'관람객 평점': '8.32', '기자 · 평론가 평점': '5.00', '네티즌 평점': '8.68'}"
"다큐멘터리, 공연실황, 대한민국, 102분",2023.03.01개봉,오윤동,"{'관람객 평점': '9.87', '네티즌 평점': '9.82'}"
"드라마, 대한민국, 138분",2023.02.08개봉,정주리,"{'관람객 평점': '8.75', '기자 · 평론가 평점': '6.73', '네티즌 평점': '9.44'}"
"판타지, 미스터리, 스릴러, 미국, 107분",2023.03.22개봉,애나 릴리 아미푸르,"{'관람객 평점': '7.22', '기자 · 평론가 평점': '5.20', '네티즌 평점': '7.37'}"
"액션, 모험, 판타지, 미국, 134분",2023.03.29개봉,조나단 골드스타인,{}
"미스터리, 스릴러, 미국, 100분",2023.03.08개봉,M. 나이트 샤말란,"{'관람객 평점': '6.01', '기자 · 평론가 평점': '5.80', '네티즌 평점': '5.70'}"
"미스터리, 스릴러, 미국, 111분",2023.02.22개봉,니콜라스 D. 존슨,"{'관람객 평점': '8.32', '기자 · 평론가 평점': '6.50', '네티즌 평점': '8.77'}"
"미스터리, 공포, 대한민국, 87분",2023.02.22개봉,윤준형,"{'관람객 평점': '6.19', '기자 · 평론가 평점': '5.75', '네티즌 평점': '5.53'}"
"코미디, 드라마, 아일랜드, , 영국, , 미국, 114분",2023.03.15개봉,마틴 맥도나,"{'관람객 평점': '8.26', '기자 · 평론가 평점': '8.08', '네티즌 평점': '8.29'}"
,스릴러미국112분,맷 러스킨,{'네티즌 평점': '8.77'}
title,director,comments
인터스텔라,크리스토퍼 놀란,"49,686"
